,Pet,Country,Population,Human Population,PPC,Happiness.Score
0,Dog,China,27400000,1330.14129,0.020599315430618652,5.2729997630000005
2,Dog,Russia,12520000,139.39021,0.08981979437436818,5.962999821
6,Dog,Japan,12000000,126.80443000000001,0.09463391775823604,5.920000076
8,Dog,Philippines,11600000,99.90018,0.11611590689826586,5.429999828
9,Dog,India,10200000,1173.10802,0.008694851476678166,4.315000057
10,Dog,Argentina,9200000,41.3432,0.22252752568741654,6.598999977
12,Dog,France,7570000,63.33964,0.11951441466986551,6.441999912000001
16,Dog,South Africa,7400000,49.10911,0.15068487292887206,4.828999996
18,Dog,Poland,7311000,38.46369,0.19007536718395973,5.97300005
22,Dog,Italy,7000000,58.12216,0.12043599205535375,5.964000225
26,Dog,Germany,5300000,82.28299,0.06441185474664934,6.951000214
30,Dog,Ethiopia,5000000,88.01349,0.05680947318416756,4.460000038
31,Dog,Spain,4720000,46.505959999999995,0.10149236785994743,6.402999877999999
35,Dog,Romania,4166000,21.95928,0.18971478117679633,5.8249998089999995
39,Dog,Australia,3700000,21.51575,0.17196704739551258,7.28399992
43,Dog,Czech Republic,3152000,10.20171,0.3089678102984696,6.609000206
45,Dog,Hungary,2856000,9.992339999999999,0.2858189373059764,5.323999882
