,Pet,Country,Population,Human Population,PPC,Happiness.Score
0,Dog,China,27400000,1330.14129,0.020599315430618652,5.2729997630000005
1,Cat,China,53100000,1330.14129,0.03992057114473907,5.2729997630000005
2,Dog,Russia,12520000,139.39021,0.08981979437436818,5.962999821
3,Cat,Russia,17800000,139.39021,0.12769906867921355,5.962999821
4,Bird,Russia,2800000,139.39021,0.020087493949539213,5.962999821
5,Fish,Russia,770000,139.39021,0.005524060836123283,5.962999821
6,Dog,Japan,12000000,126.80443000000001,0.09463391775823604,5.920000076
7,Cat,Japan,7300000,126.80443000000001,0.05756896663626026,5.920000076
8,Dog,Philippines,11600000,99.90018,0.11611590689826586,5.429999828
9,Dog,India,10200000,1173.10802,0.008694851476678166,4.315000057
10,Dog,Argentina,9200000,41.3432,0.22252752568741654,6.598999977
11,Cat,Argentina,3000000,41.3432,0.07256332359372279,6.598999977
12,Dog,France,7570000,63.33964,0.11951441466986551,6.441999912000001
13,Cat,France,11480000,63.33964,0.1812451096974975,6.441999912000001
14,Bird,France,6200000,63.33964,0.09788498955788193,6.441999912000001
15,Fish,France,37300000,63.33964,0.5888887275014509,6.441999912000001
16,Dog,South Africa,7400000,49.10911,0.15068487292887206,4.828999996
17,Cat,South Africa,2000000,49.10911,0.04072564133212758,4.828999996
18,Dog,Poland,7311000,38.46369,0.19007536718395973,5.97300005
19,Cat,Poland,5550000,38.46369,0.14429192830953036,5.97300005
20,Bird,Poland,1300000,38.46369,0.03379810933376387,5.97300005
21,Fish,Poland,231000,38.46369,0.006005664043153426,5.97300005
22,Dog,Italy,7000000,58.12216,0.12043599205535375,5.964000225
23,Cat,Italy,7400000,58.12216,0.1273180487442311,5.964000225
24,Bird,Italy,13000000,58.12216,0.22366684238851411,5.964000225
25,Fish,Italy,1540000,58.12216,0.026495918252177827,5.964000225
26,Dog,Germany,5300000,82.28299,0.06441185474664934,6.951000214
27,Cat,Germany,8200000,82.28299,0.09965607715519331,6.951000214
28,Bird,Germany,3500000,82.28299,0.04253613049307032,6.951000214
29,Fish,Germany,2000000,82.28299,0.024306360281754466,6.951000214
30,Dog,Ethiopia,5000000,88.01349,0.05680947318416756,4.460000038
31,Dog,Spain,4720000,46.505959999999995,0.10149236785994743,6.402999877999999
32,Cat,Spain,3385000,46.505959999999995,0.07278636974701738,6.402999877999999
33,Bird,Spain,3718000,46.505959999999995,0.07994674231001792,6.402999877999999
34,Fish,Spain,170000,46.505959999999995,0.0036554454525828525,6.402999877999999
35,Dog,Romania,4166000,21.95928,0.18971478117679633,5.8249998089999995
36,Cat,Romania,3891000,21.95928,0.17719160191044514,5.8249998089999995
37,Bird,Romania,264000,21.95928,0.012022252095697126,5.8249998089999995
38,Fish,Romania,96000,21.95928,0.0043717280347989555,5.8249998089999995
39,Dog,Australia,3700000,21.51575,0.17196704739551258,7.28399992
40,Cat,Australia,2200000,21.51575,0.10225067682976424,7.28399992
41,Bird,Australia,7800000,21.51575,0.36252512694189143,7.28399992
42,Fish,Australia,20500000,21.51575,0.9527903977318941,7.28399992
43,Dog,Czech Republic,3152000,10.20171,0.3089678102984696,6.609000206
44,Cat,Czech Republic,1750000,10.20171,0.17153986929642187,6.609000206
45,Dog,Hungary,2856000,9.992339999999999,0.2858189373059764,5.323999882
46,Cat,Hungary,2240000,9.992339999999999,0.22417171553409918,5.323999882
47,Bird,Hungary,445000,9.992339999999999,0.044534113130658096,5.323999882
48,Fish,Hungary,58000,9.992339999999999,0.005804446205793639,5.323999882
49,Cat,Brazil,12466000,201.10333,0.061988033713812694,6.635000229
50,Bird,Brazil,191001000,201.10333,0.949765476285251,6.635000229
51,Fish,Brazil,26500000,201.10333,0.1317730541806543,6.635000229
52,Cat,Ukraine,7350000,45.4156,0.16183866336677266,4.096000195
53,Cat,Netherlands,2877000,16.783089999999998,0.17142254495447504,7.376999855
54,Bird,Netherlands,4490000,16.783089999999998,0.2675311876418467,7.376999855
55,Fish,Netherlands,708000,16.783089999999998,0.04218531867492817,7.376999855
56,Cat,Belgium,1884100,10.42349,0.18075519811502674,6.890999794
57,Bird,Belgium,2700000,10.42349,0.2590303247760587,6.890999794
58,Fish,Belgium,146000,10.42349,0.014006824969372063,6.890999794
59,Bird,Greece,980000,10.749939999999999,0.09116329951609034,5.2270002369999995
60,Fish,Greece,38000,10.749939999999999,0.0035349034506239113,5.2270002369999995
61,Bird,Portugal,640000,10.73577,0.05961379575009524,5.195000172
62,Fish,Portugal,74000,10.73577,0.0068928451336047625,5.195000172
63,Bird,New Zealand,527000,4.25012,0.12399649892238337,7.31400013
64,Fish,New Zealand,1678000,4.25012,0.3948123817680442,7.31400013
65,Bird,Switzerland,383000,7.65844,0.05001018484182157,7.493999958
66,Fish,Switzerland,169000,7.65844,0.022067157280072705,7.493999958
67,Bird,Sweden,322000,9.074060000000001,0.0354857693248667,7.28399992
68,Fish,Sweden,262000,9.074060000000001,0.028873514171164832,7.28399992
69,Bird,Austria,281000,8.214160000000001,0.03420921920196343,7.006000042
70,Fish,Austria,71000,8.214160000000001,0.008643610545691828,7.006000042
