Country Name,Country Code,Indicator Name,Indicator Code,2017
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,20815300220
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1.24209E+11
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,13039352744
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3012914131
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2.59105E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,3.82575E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,6.3759E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,11536590636
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1532397556
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.32342E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.16596E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,40747792238
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,3477502178
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,4.92681E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,9273558272
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,12873114800
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,2.49724E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,56831518294
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,35307127660
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,12162100000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,18168579578
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,54442374373
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1838000000
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,37508642113
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2.05551E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4796845981
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,12128089002
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2511852941
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,17406530781
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1949411659
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.65304E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1.45075E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,6.78887E+11
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2.77076E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.22377E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,40388624117
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,34798596482
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,37241300949
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,8722553001
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,3.09191E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,648920942.7
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1753736712
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,57057372468
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,69331419651
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,21651791751
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,2.15726E+11
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3.67744E+12
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1844674435
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,562540740.7
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,3.24872E+11
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,75931656815
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.70371E+11
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1.47423E+13
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1.12494E+13
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,2.39993E+13
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,3.3005E+12
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,2.14385E+13
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1.03057E+11
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2.35369E+11
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1.25895E+13
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1.31132E+12
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,25921079612
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,80561496134
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1.72777E+13
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,8.30727E+11
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,2.51885E+11
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,5061202767
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2.5825E+12
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,336427532.9
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,14622880886
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2.62243E+12
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,15159281211
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,47330016343
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,10496056733
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1014621520
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1346933490
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,12486753871
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,2.00288E+11
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1118816679
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,75620095538
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,3675631961
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,5.14754E+13
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,3.41449E+11
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,22978532897
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,7.28774E+11
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,54849180229
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,8408150518
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1.39135E+11
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,2.86485E+13
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,3.07418E+13
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,2.09962E+12
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,9.15342E+11
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1.01554E+12
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1.18602E+12
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2.59749E+12
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,3.33731E+11
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,4.39514E+11
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1.97716E+11
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,23909289979
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,3.50851E+11
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1.9348E+12
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,14768134912
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,40068308516
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4.87214E+12
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1.59407E+11
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,74938190655
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,7564738836
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,22158209503
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,196150061.3
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,945854481.5
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1.53075E+12
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1.20126E+11
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,4.72305E+12
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,16853079615
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,51844487742
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,2158000000
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,50984362478
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1712306556
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,5.95467E+12
