Country Name,Country Code,2016
Aruba,ABW,75.867
Afghanistan,AFG,63.673
Angola,AGO,61.547
Albania,ALB,78.345
Andorra,AND,
Arab World,ARB,71.19845637
United Arab Emirates,ARE,77.256
Argentina,ARG,76.577
Armenia,ARM,74.618
American Samoa,ASM,
Antigua and Barbuda,ATG,76.364
Australia,AUS,82.5
Austria,AUT,80.8902439
Azerbaijan,AZE,72.026
Burundi,BDI,57.481
Belgium,BEL,80.99268293
Benin,BEN,60.907
Burkina Faso,BFA,60.361
Bangladesh,BGD,72.489
Bulgaria,BGR,74.61463415
Bahrain,BHR,76.9
"Bahamas, The",BHS,75.675
Bosnia and Herzegovina,BIH,76.911
Belarus,BLR,73.82682927
Belize,BLZ,70.384
Bermuda,BMU,81.22707317
Bolivia,BOL,69.125
Brazil,BRA,75.509
Barbados,BRB,75.906
Brunei Darussalam,BRN,77.203
Bhutan,BTN,70.197
Botswana,BWA,66.797
Central African Republic,CAF,52.171
Canada,CAN,82.3005122
Central Europe and the Baltics,CEB,76.60313013
Switzerland,CHE,82.89756098
Channel Islands,CHI,81.107
Chile,CHL,79.522
China,CHN,76.252
Cote d'Ivoire,CIV,53.582
Cameroon,CMR,58.073
"Congo, Dem. Rep.",COD,59.621
"Congo, Rep.",COG,64.625
Colombia,COL,74.381
Comoros,COM,63.701
Cabo Verde,CPV,72.798
Costa Rica,CRI,79.831
Caribbean small states,CSS,73.1924085
Cuba,CUB,79.742
Curacao,CUW,77.87317073
Cayman Islands,CYM,
Cyprus,CYP,80.508
Czech Republic,CZE,78.33170732
Germany,DEU,80.64146341
Djibouti,DJI,62.465
Dominica,DMA,
Denmark,DNK,80.70487805
Dominican Republic,DOM,73.861
Algeria,DZA,76.078
East Asia & Pacific (excluding high income),EAP,74.49253256
Early-demographic dividend,EAR,69.76627113
East Asia & Pacific,EAS,75.39573164
Europe & Central Asia (excluding high income),ECA,72.81472314
Europe & Central Asia,ECS,77.28144604
Ecuador,ECU,76.327
"Egypt, Arab Rep.",EGY,71.484
Euro area,EMU,81.5599298
Eritrea,ERI,65.092
Spain,ESP,82.83170732
Estonia,EST,77.73658537
Ethiopia,ETH,65.475
European Union,EUU,80.62039806
Fragile and conflict affected situations,FCS,62.56940239
Finland,FIN,81.7804878
Fiji,FJI,70.269
France,FRA,82.27317073
Faroe Islands,FRO,82.24146341
"Micronesia, Fed. Sts.",FSM,69.195
Gabon,GAB,66.105
United Kingdom,GBR,80.95609756
Georgia,GEO,73.261
Ghana,GHA,62.742
Gibraltar,GIB,
Guinea,GIN,60.015
"Gambia, The",GMB,61.193
Guinea-Bissau,GNB,57.403
Equatorial Guinea,GNQ,57.681
Greece,GRC,81.03658537
Grenada,GRD,73.659
Greenland,GRL,
Guatemala,GTM,73.409
Guam,GUM,79.575
Guyana,GUY,66.65
High income,HIC,80.37014646
"Hong Kong SAR, China",HKG,84.22682927
Honduras,HND,73.575
Heavily indebted poor countries (HIPC),HPC,62.08175389
Croatia,HRV,78.02195122
Haiti,HTI,63.33
Hungary,HUN,75.56829268
IBRD only,IBD,72.76270933
IDA & IBRD total,IBT,70.46864944
IDA total,IDA,63.62071912
IDA blend,IDB,61.66244827
Indonesia,IDN,69.191
IDA only,IDX,64.58966602
Isle of Man,IMN,
India,IND,68.56
Not classified,INX,
Ireland,IRL,81.60731707
"Iran, Islamic Rep.",IRN,75.953
Iraq,IRQ,69.862
Iceland,ISL,82.46829268
Israel,ISR,82.40731707
Italy,ITA,82.54390244
Jamaica,JAM,75.97
Jordan,JOR,74.329
Japan,JPN,83.98487805
Kazakhstan,KAZ,72.3
Kenya,KEN,67.032
Kyrgyz Republic,KGZ,70.95121951
Cambodia,KHM,68.981
Kiribati,KIR,66.317
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,82.02439024
Kuwait,KWT,74.694
Latin America & Caribbean (excluding high income),LAC,75.28667364
Lao PDR,LAO,66.683
Lebanon,LBN,79.584
Liberia,LBR,62.505
Libya,LBY,71.934
St. Lucia,LCA,75.496
Latin America & Caribbean,LCN,75.54005062
Least developed countries: UN classification,LDC,64.44519781
Low income,LIC,62.93547351
Liechtenstein,LIE,82.65609756
Sri Lanka,LKA,75.284
Lower middle income,LMC,67.8822079
Low & middle income,LMY,70.36682416
Lesotho,LSO,54.174
Late-demographic dividend,LTE,75.71565922
Lithuania,LTU,74.32195122
Luxembourg,LUX,82.29268293
Latvia,LVA,74.52926829
"Macao SAR, China",MAC,83.849
St. Martin (French part),MAF,79.62195122
Morocco,MAR,75.821
Monaco,MCO,
Moldova,MDA,71.61
Madagascar,MDG,65.932
Maldives,MDV,77.339
Middle East & North Africa,MEA,73.4917998
Mexico,MEX,77.118
Marshall Islands,MHL,
Middle income,MIC,71.33372504
"Macedonia, FYR",MKD,75.703
Mali,MLI,57.966
Malta,MLT,81.79756098
Myanmar,MMR,66.612
Middle East & North Africa (excluding high income),MNA,72.99192022
Montenegro,MNE,77.116
Mongolia,MNG,69.287
Northern Mariana Islands,MNP,
Mozambique,MOZ,58.311
Mauritania,MRT,63.238
Mauritius,MUS,74.39487805
Malawi,MWI,63.223
Malaysia,MYS,75.3
North America,NAC,79.05465211
Namibia,NAM,64.388
New Caledonia,NCL,76.96150074
Niger,NER,60.058
Nigeria,NGA,53.428
Nicaragua,NIC,75.404
Netherlands,NLD,81.5097561
Norway,NOR,82.5097561
Nepal,NPL,70.253
Nauru,NRU,
New Zealand,NZL,81.61243902
OECD members,OED,80.1110227
Oman,OMN,77.029
Other small states,OSS,67.69503128
Pakistan,PAK,66.481
Panama,PAN,78.001
Peru,PER,74.983
Philippines,PHL,69.094
Palau,PLW,
Papua New Guinea,PNG,65.544
Poland,POL,77.45121951
Pre-demographic dividend,PRE,59.96143906
Puerto Rico,PRI,79.78831707
"Korea, Dem. People’s Rep.",PRK,71.685
Portugal,PRT,81.12682927
Paraguay,PRY,73.12
West Bank and Gaza,PSE,73.473
Pacific island small states,PSS,70.89537639
Post-demographic dividend,PST,80.45602286
French Polynesia,PYF,76.813
Qatar,QAT,78.184
Romania,ROU,75.01219512
Russian Federation,RUS,71.59292683
Rwanda,RWA,67.129
South Asia,SAS,68.71053305
Saudi Arabia,SAU,74.561
Sudan,SDN,64.486
Senegal,SEN,67.146
Singapore,SGP,82.79512195
Solomon Islands,SLB,70.726
Sierra Leone,SLE,51.835
El Salvador,SLV,73.512
San Marino,SMR,
Somalia,SOM,56.293
Serbia,SRB,75.23902439
Sub-Saharan Africa (excluding high income),SSA,60.3935628
South Sudan,SSD,56.811
Sub-Saharan Africa,SSF,60.39483799
Small states,SST,68.87448751
Sao Tome and Principe,STP,66.624
Suriname,SUR,71.405
Slovak Republic,SVK,76.56341463
Slovenia,SVN,80.77560976
Sweden,SWE,82.20487805
Eswatini,SWZ,57.754
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,74.3097561
Syrian Arab Republic,SYR,70.31
Turks and Caicos Islands,TCA,
Chad,TCD,52.903
East Asia & Pacific (IDA & IBRD countries),TEA,74.527656
Europe & Central Asia (IDA & IBRD countries),TEC,73.24905322
Togo,TGO,60.232
Thailand,THA,75.303
Tajikistan,TJK,71.051
Turkmenistan,TKM,67.835
Latin America & the Caribbean (IDA & IBRD countries),TLA,75.43739896
Timor-Leste,TLS,68.881
Middle East & North Africa (IDA & IBRD countries),TMN,72.98598886
Tonga,TON,73.029
South Asia (IDA & IBRD),TSA,68.71053305
Sub-Saharan Africa (IDA & IBRD countries),TSS,60.39483799
Trinidad and Tobago,TTO,70.673
Tunisia,TUN,75.731
Turkey,TUR,75.755
Tuvalu,TUV,
Tanzania,TZA,65.675
Uganda,UGA,59.889
Ukraine,UKR,71.47634146
Upper middle income,UMC,75.29062097
Uruguay,URY,77.493
United States,USA,78.6902439
Uzbekistan,UZB,71.314
St. Vincent and the Grenadines,VCT,73.179
"Venezuela, RB",VEN,74.545
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,79.26829268
Vietnam,VNM,76.253
Vanuatu,VUT,72.133
World,WLD,72.03533693
Samoa,WSM,75.013
Kosovo,XKX,71.64634146
"Yemen, Rep.",YEM,64.953
South Africa,ZAF,62.774
Zambia,ZMB,61.874
Zimbabwe,ZWE,61.163
