Country Name,Country Code,Indicator Name,Indicator Code,2017
Aruba,ABW,"Population, total",SP.POP.TOTL,105264
Afghanistan,AFG,"Population, total",SP.POP.TOTL,35530081
Angola,AGO,"Population, total",SP.POP.TOTL,29784193
Albania,ALB,"Population, total",SP.POP.TOTL,2873457
Andorra,AND,"Population, total",SP.POP.TOTL,76965
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9400145
Argentina,ARG,"Population, total",SP.POP.TOTL,44271041
Armenia,ARM,"Population, total",SP.POP.TOTL,2930450
American Samoa,ASM,"Population, total",SP.POP.TOTL,55641
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,102012
Australia,AUS,"Population, total",SP.POP.TOTL,24598933
Austria,AUT,"Population, total",SP.POP.TOTL,8809212
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9862429
Burundi,BDI,"Population, total",SP.POP.TOTL,10864245
Belgium,BEL,"Population, total",SP.POP.TOTL,11372068
Benin,BEN,"Population, total",SP.POP.TOTL,11175692
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,19193382
Bangladesh,BGD,"Population, total",SP.POP.TOTL,164669751
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7075991
Bahrain,BHR,"Population, total",SP.POP.TOTL,1492584
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395361
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3507017
Belarus,BLR,"Population, total",SP.POP.TOTL,9507875
Belize,BLZ,"Population, total",SP.POP.TOTL,374681
Bermuda,BMU,"Population, total",SP.POP.TOTL,65441
Bolivia,BOL,"Population, total",SP.POP.TOTL,11051600
Brazil,BRA,"Population, total",SP.POP.TOTL,209288278
Barbados,BRB,"Population, total",SP.POP.TOTL,285719
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,428697
Bhutan,BTN,"Population, total",SP.POP.TOTL,807610
Botswana,BWA,"Population, total",SP.POP.TOTL,2291661
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4659080
Canada,CAN,"Population, total",SP.POP.TOTL,36708083
Switzerland,CHE,"Population, total",SP.POP.TOTL,8466017
Channel Islands,CHI,"Population, total",SP.POP.TOTL,165314
Chile,CHL,"Population, total",SP.POP.TOTL,18054726
China,CHN,"Population, total",SP.POP.TOTL,1386395000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,24294750
Cameroon,CMR,"Population, total",SP.POP.TOTL,24053727
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,81339988
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5260750
Colombia,COL,"Population, total",SP.POP.TOTL,49065615
Comoros,COM,"Population, total",SP.POP.TOTL,813912
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,546388
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4905769
Cuba,CUB,"Population, total",SP.POP.TOTL,11484636
Curacao,CUW,"Population, total",SP.POP.TOTL,161014
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,61559
Cyprus,CYP,"Population, total",SP.POP.TOTL,1179551
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10591323
Germany,DEU,"Population, total",SP.POP.TOTL,82695000
Djibouti,DJI,"Population, total",SP.POP.TOTL,956985
Dominica,DMA,"Population, total",SP.POP.TOTL,73925
Denmark,DNK,"Population, total",SP.POP.TOTL,5769603
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10766998
Algeria,DZA,"Population, total",SP.POP.TOTL,41318142
Ecuador,ECU,"Population, total",SP.POP.TOTL,16624858
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,97553151
Eritrea,ERI,"Population, total",SP.POP.TOTL,
Spain,ESP,"Population, total",SP.POP.TOTL,46572028
Estonia,EST,"Population, total",SP.POP.TOTL,1315480
Ethiopia,ETH,"Population, total",SP.POP.TOTL,104957438
Finland,FIN,"Population, total",SP.POP.TOTL,5511303
Fiji,FJI,"Population, total",SP.POP.TOTL,905502
France,FRA,"Population, total",SP.POP.TOTL,67118648
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,49290
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,105544
Gabon,GAB,"Population, total",SP.POP.TOTL,2025137
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66022273
Georgia,GEO,"Population, total",SP.POP.TOTL,3717100
Ghana,GHA,"Population, total",SP.POP.TOTL,28833629
Gibraltar,GIB,"Population, total",SP.POP.TOTL,34571
Guinea,GIN,"Population, total",SP.POP.TOTL,12717176
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2100568
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1861283
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1267689
Greece,GRC,"Population, total",SP.POP.TOTL,10760421
Grenada,GRD,"Population, total",SP.POP.TOTL,107825
Greenland,GRL,"Population, total",SP.POP.TOTL,56171
Guatemala,GTM,"Population, total",SP.POP.TOTL,16913503
Guam,GUM,"Population, total",SP.POP.TOTL,164229
Guyana,GUY,"Population, total",SP.POP.TOTL,777859
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7391700
Honduras,HND,"Population, total",SP.POP.TOTL,9265067
Croatia,HRV,"Population, total",SP.POP.TOTL,4125700
Haiti,HTI,"Population, total",SP.POP.TOTL,10981229
Hungary,HUN,"Population, total",SP.POP.TOTL,9781127
Indonesia,IDN,"Population, total",SP.POP.TOTL,263991379
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84287
India,IND,"Population, total",SP.POP.TOTL,1339180127
Ireland,IRL,"Population, total",SP.POP.TOTL,4813608
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,81162788
Iraq,IRQ,"Population, total",SP.POP.TOTL,38274618
Iceland,ISL,"Population, total",SP.POP.TOTL,341284
Israel,ISR,"Population, total",SP.POP.TOTL,8712400
Italy,ITA,"Population, total",SP.POP.TOTL,60551416
Jamaica,JAM,"Population, total",SP.POP.TOTL,2890299
Jordan,JOR,"Population, total",SP.POP.TOTL,9702353
Japan,JPN,"Population, total",SP.POP.TOTL,126785797
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18037646
Kenya,KEN,"Population, total",SP.POP.TOTL,49699862
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6201500
Cambodia,KHM,"Population, total",SP.POP.TOTL,16005373
Kiribati,KIR,"Population, total",SP.POP.TOTL,116398
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,55345
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51466201
Kuwait,KWT,"Population, total",SP.POP.TOTL,4136528
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6858160
Lebanon,LBN,"Population, total",SP.POP.TOTL,6082357
Liberia,LBR,"Population, total",SP.POP.TOTL,4731906
Libya,LBY,"Population, total",SP.POP.TOTL,6374616
St. Lucia,LCA,"Population, total",SP.POP.TOTL,178844
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37922
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21444000
Lesotho,LSO,"Population, total",SP.POP.TOTL,2233339
Lithuania,LTU,"Population, total",SP.POP.TOTL,2827721
Luxembourg,LUX,"Population, total",SP.POP.TOTL,599449
Latvia,LVA,"Population, total",SP.POP.TOTL,1940740
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,622567
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,32125
Morocco,MAR,"Population, total",SP.POP.TOTL,35739580
Monaco,MCO,"Population, total",SP.POP.TOTL,38695
Moldova,MDA,"Population, total",SP.POP.TOTL,3549750
Madagascar,MDG,"Population, total",SP.POP.TOTL,25570895
Maldives,MDV,"Population, total",SP.POP.TOTL,436330
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,444322417
Mexico,MEX,"Population, total",SP.POP.TOTL,129163276
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,53127
Middle income,MIC,"Population, total",SP.POP.TOTL,5548845363
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2083160
Mali,MLI,"Population, total",SP.POP.TOTL,18541980
Malta,MLT,"Population, total",SP.POP.TOTL,465292
Myanmar,MMR,"Population, total",SP.POP.TOTL,53370609
Montenegro,MNE,"Population, total",SP.POP.TOTL,622471
Mongolia,MNG,"Population, total",SP.POP.TOTL,3075647
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,55144
Mozambique,MOZ,"Population, total",SP.POP.TOTL,29668834
Mauritania,MRT,"Population, total",SP.POP.TOTL,4420184
Mauritius,MUS,"Population, total",SP.POP.TOTL,1264613
Malawi,MWI,"Population, total",SP.POP.TOTL,18622104
Malaysia,MYS,"Population, total",SP.POP.TOTL,31624264
Namibia,NAM,"Population, total",SP.POP.TOTL,2533794
New Caledonia,NCL,"Population, total",SP.POP.TOTL,280460
Niger,NER,"Population, total",SP.POP.TOTL,21477348
Nigeria,NGA,"Population, total",SP.POP.TOTL,190886311
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6217581
Netherlands,NLD,"Population, total",SP.POP.TOTL,17132854
Norway,NOR,"Population, total",SP.POP.TOTL,5282223
Nepal,NPL,"Population, total",SP.POP.TOTL,29304998
Nauru,NRU,"Population, total",SP.POP.TOTL,13649
New Zealand,NZL,"Population, total",SP.POP.TOTL,4793900
Oman,OMN,"Population, total",SP.POP.TOTL,4636262
Pakistan,PAK,"Population, total",SP.POP.TOTL,197015955
Panama,PAN,"Population, total",SP.POP.TOTL,4098587
Peru,PER,"Population, total",SP.POP.TOTL,32165485
Philippines,PHL,"Population, total",SP.POP.TOTL,104918090
Palau,PLW,"Population, total",SP.POP.TOTL,21729
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8251162
Poland,POL,"Population, total",SP.POP.TOTL,37975841
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3337177
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25490965
Portugal,PRT,"Population, total",SP.POP.TOTL,10293718
Paraguay,PRY,"Population, total",SP.POP.TOTL,6811297
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4684777
French Polynesia,PYF,"Population, total",SP.POP.TOTL,283007
Qatar,QAT,"Population, total",SP.POP.TOTL,2639211
Romania,ROU,"Population, total",SP.POP.TOTL,19586539
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144495044
Rwanda,RWA,"Population, total",SP.POP.TOTL,12208407
South Asia,SAS,"Population, total",SP.POP.TOTL,1788388852
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,32938213
Sudan,SDN,"Population, total",SP.POP.TOTL,40533330
Senegal,SEN,"Population, total",SP.POP.TOTL,15850567
Singapore,SGP,"Population, total",SP.POP.TOTL,5612253
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,611343
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7557212
El Salvador,SLV,"Population, total",SP.POP.TOTL,6377853
San Marino,SMR,"Population, total",SP.POP.TOTL,33400
Somalia,SOM,"Population, total",SP.POP.TOTL,14742523
Serbia,SRB,"Population, total",SP.POP.TOTL,7022268
South Sudan,SSD,"Population, total",SP.POP.TOTL,12575714
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,204327
Suriname,SUR,"Population, total",SP.POP.TOTL,563402
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5439892
Slovenia,SVN,"Population, total",SP.POP.TOTL,2066748
Sweden,SWE,"Population, total",SP.POP.TOTL,10067744
