,Pet,Country,Population,Human Population,PPC,Happiness.Score
4,Bird,Russia,2800000,139.39021,0.020087493999999997,5.962999821
14,Bird,France,6200000,63.33964,0.09788499,6.441999912000001
20,Bird,Poland,1300000,38.46369,0.033798109,5.97300005
24,Bird,Italy,13000000,58.12216,0.223666842,5.964000225
28,Bird,Germany,3500000,82.28299,0.04253613,6.951000214
33,Bird,Spain,3718000,46.505959999999995,0.079946742,6.402999877999999
37,Bird,Romania,264000,21.95928,0.012022251999999999,5.8249998089999995
41,Bird,Australia,7800000,21.51575,0.362525127,7.28399992
47,Bird,Hungary,445000,9.992339999999999,0.044534113,5.323999882
50,Bird,Brazil,191001000,201.10333,0.9497654759999999,6.635000229
54,Bird,Netherlands,4490000,16.783089999999998,0.26753118800000003,7.376999855
57,Bird,Belgium,2700000,10.42349,0.259030325,6.890999794
59,Bird,Greece,980000,10.749939999999999,0.0911633,5.2270002369999995
61,Bird,Portugal,640000,10.73577,0.059613796,5.195000172
63,Bird,New Zealand,527000,4.25012,0.12399649900000001,7.31400013
65,Bird,Switzerland,383000,7.65844,0.050010185,7.493999958
67,Bird,Sweden,322000,9.074060000000001,0.035485769,7.28399992
69,Bird,Austria,281000,8.214160000000001,0.034209219,7.006000042
