id,country,abbr,nhs,dpc
1,China,CHN,5.272999763,0.039920571
2,Russia,RUS,5.962999821,0.127699069
4,Japan,JPN,5.920000076,0.057568967
5,Argentina,ARG,6.598999977,0.072563324
6,France,FRA,6.441999912,0.18124511
8,South Africa,RSA,4.828999996,0.040725641
9,Poland,POL,5.97300005,0.144291928
10,Italy,ITA,5.964000225,0.127318049
11,Germany,GER,6.951000214,0.099656077
12,Spain,ESP,6.402999878,0.07278637
13,Romania,ROM,5.824999809,0.177191602
15,Australia,AUS,7.28399992,0.102250677
16,Czech Republic,CZE,6.609000206,0.171539869
17,Hungary,HUN,5.323999882,0.224171716
18,Brazil,BRA,6.635000229,0.061988034
19,Ukraine,UKR,4.096000195,0.161838663
20,Netherlands,NED,7.376999855,0.171422545
