id,country,abbr,nhs,dpc,
1,China,CHN,5.272999763,0.020599315,
2,Russia,RUS,5.962999821,0.089819794,
4,Japan,JPN,5.920000076,0.094633918,
5,Philippines,PHI,5.429999828,0.116115907,
6,India,IND,4.315000057,0.008694851,
8,Argentina,ARG,6.598999977,0.222527526,
9,France,FRA,6.441999912,0.119514415,
10,South Africa,RSA,4.828999996,0.150684873,
11,Poland,POL,5.97300005,0.190075367,
12,Italy,ITA,5.964000225,0.120435992,
13,Germany,GER,6.951000214,0.064411855,
15,Ethiopia,ETH,4.460000038,0.056809473,
16,Spain,ESP,6.402999878,0.101492368,
17,Romania,ROM,5.824999809,0.189714781,
18,Australia,AUS,7.28399992,0.171967047,
19,Czech Republic,CZE,6.609000206,0.30896781,
20,Hungary,HUN,5.323999882,0.285818937,
