id,country,abbr,nhs,dpc
5,Russia,RUS,5.962999821,0.005524061
15,France,FRA,6.441999912,0.588888728
21,Poland,POL,5.97300005,0.006005664
25,Italy,ITA,5.964000225,0.026495918
29,Germany,GER,6.951000214,0.02430636
34,Spain,ESP,6.402999878,0.003655445
38,Romania,ROM,5.824999809,0.004371728
42,Australia,AUS,7.28399992,0.952790398
48,Hungary,HUN,5.323999882,0.005804446
51,Brazil,BRA,6.635000229,0.131773054
55,Netherlands,NED,7.376999855,0.042185319
58,Belgium,BEL,6.890999794,0.014006825
60,Greece,GRE,5.227000237,0.003534903
62,Portugal,POR,5.195000172,0.006892845
64,New Zealand,NZL,7.31400013,0.394812382
66,Switzerland,SUI,7.493999958,0.022067157
68,Sweden,SWE,7.28399992,0.028873514
70,Austria,AUT,7.006000042,0.008643611
